"Monitor PT1000 Minus Bottom Mid TEC TAir"
Date,VALUE_CONVERTED
"1292162143000","18.92"
"1292163073000","18.89"
"1292163305000","18.92"
"1292164003000","18.89"
"1292164235000","18.92"
"1292171908000","18.89"
"1292172140000","18.92"
"1292174930000","18.89"
"1292175163000","18.92"
"1292179580000","18.94"
"1292179813000","18.92"
"1292186555000","18.94"
"1292186788000","18.92"
"1292187950000","18.94"
"1292188183000","18.92"
"1292190275000","18.94"
"1292190508000","18.92"
"1292191903000","18.94"
"1292192368000","18.92"
"1292192833000","18.94"
"1292193065000","18.92"
"1292193298000","18.94"
"1292193995000","18.92"
"1292194460000","18.94"
"1292195158000","18.92"
"1292195390000","18.94"
"1292195623000","18.92"
"1292195855000","18.94"
"1292196088000","18.92"
"1292196320000","18.94"
"1292196553000","18.92"
"1292196785000","18.94"
"1292198180000","18.92"
"1292198645000","18.94"
"1292199575000","18.92"
"1292199808000","18.94"
"1292200040000","18.92"
"1292200738000","18.94"
"1292200970000","18.92"
"1292201203000","18.94"
"1292201435000","18.92"
"1292201668000","18.94"
"1292201900000","18.92"
"1292202133000","18.94"
"1292203528000","18.92"
"1292203760000","18.94"
"1292204690000","18.92"
"1292204923000","18.94"
"1292208178000","18.92"
"1292208410000","18.94"
"1292211898000","18.92"
"1292212130000","18.94"
"1292212595000","18.92"
"1292212828000","18.94"
"1292213293000","18.92"
"1292213758000","18.94"
"1292213990000","18.92"
"1292214223000","18.94"
"1292214455000","18.92"
"1292214688000","18.94"
"1292215618000","18.92"
"1292215850000","18.94"
"1292219105000","18.92"
"1292219338000","18.94"
"1292219570000","18.92"
"1292220035000","18.94"
"1292220268000","18.92"
"1292220500000","18.94"
"1292223058000","18.92"
"1292223290000","18.94"
"1292223988000","18.92"
"1292224220000","18.94"
"1292227940000","18.92"
"1292228173000","18.94"
"1292229568000","18.92"
"1292229800000","18.94"
"1292230033000","18.92"
"1292230265000","18.94"
"1292233288000","18.92"
"1292233753000","18.94"
"1292235380000","18.92"
"1292235845000","18.94"
"1292236078000","18.92"
"1292236310000","18.94"
"1292237938000","18.92"
"1292238170000","18.94"
"1292238868000","18.92"
"1292239333000","18.94"
"1292244680000","18.96"
"1292245378000","18.94"
"1292247470000","18.96"
"1292247703000","18.94"
"1292252585000","18.96"
"1292252818000","18.94"
"1292253283000","18.96"
"1292253515000","18.94"
"1292491674000","18.92"
"1292492372000","18.89"
"1292492604000","18.92"
"1292492837000","18.89"
"1292493069000","18.92"
"1292493302000","18.89"
"1292493534000","18.92"
"1292494232000","18.89"
"1292494464000","18.92"
"1292497487000","18.94"
"1292497719000","18.92"
"1292498184000","18.94"
"1292498417000","18.92"
"1292498649000","18.94"
"1292499579000","18.92"
"1292500044000","18.94"
"1292500974000","18.92"
"1292501439000","18.94"
"1292502137000","18.92"
"1292502369000","18.94"
"1292503997000","18.92"
"1292504229000","18.94"
"1292504462000","18.92"
"1292505159000","18.94"
"1292506089000","18.92"
"1292506554000","18.94"
"1292506787000","18.92"
"1292507019000","18.94"
"1292507252000","18.92"
"1292507484000","18.94"
"1292507717000","18.92"
"1292507949000","18.94"
"1292508182000","18.92"
"1292508647000","18.94"
"1292509809000","18.92"
"1292510042000","18.94"
"1292510274000","18.92"
"1292510739000","18.94"
"1292511204000","18.92"
"1292511669000","18.94"
"1292511902000","18.92"
"1292512367000","18.94"
"1292512599000","18.92"
"1292513064000","18.94"
"1292514227000","18.92"
"1292514459000","18.94"
"1292514692000","18.92"
"1292515622000","18.94"
"1292515854000","18.92"
"1292516087000","18.94"
"1292516552000","18.92"
"1292517947000","18.94"
"1292518412000","18.92"
"1292520039000","18.94"
"1292521202000","18.92"
"1292521667000","18.94"
"1292521899000","18.92"
"1292523992000","18.94"
"1292524224000","18.92"
"1292524922000","18.94"
"1292525154000","18.92"
"1292527247000","18.94"
"1292527479000","18.92"
"1292533757000","18.94"
"1292533989000","18.92"
"1292538407000","18.94"
"1292538639000","18.92"
"1292543987000","18.94"
"1292544219000","18.92"
"1292550032000","18.94"
"1292550264000","18.92"
"1292553287000","18.94"
"1292553519000","18.92"
"1292553752000","18.94"
"1292554217000","18.92"
"1292554449000","18.94"
"1292554682000","18.92"
"1292555147000","18.94"
"1292555379000","18.92"
"1292558169000","18.89"
"1292558402000","18.92"
"1292560262000","18.89"
"1292560494000","18.92"
"1292565144000","18.94"
"1292565377000","18.92"
"1292566074000","18.94"
"1292566307000","18.92"
"1292567469000","18.94"
"1292567702000","18.92"
"1292568167000","18.94"
"1292568399000","18.92"
"1292569097000","18.94"
"1292569329000","18.92"
"1292578629000","18.94"
"1292579327000","18.92"
"1292579559000","18.94"
"1292579792000","18.92"
"1292580024000","18.94"
"1292580257000","18.92"
"1292580722000","18.94"
"1292580954000","18.92"
"1292582349000","18.94"
"1292582814000","18.92"
"1292583279000","18.94"
"1292583744000","18.92"
"1292584674000","18.94"
"1292585139000","18.92"
"1292585372000","18.94"
"1292585604000","18.92"
"1292586302000","18.94"
"1292586534000","18.92"
"1292586999000","18.94"
"1292587464000","18.92"
"1292587697000","18.94"
"1292587929000","18.92"
"1292588859000","18.94"
"1292589092000","18.92"
"1292589324000","18.94"
"1292589557000","18.92"
"1292590487000","18.94"
"1292590719000","18.92"
"1292592579000","18.94"
"1292592812000","18.92"
"1292595137000","18.94"
"1292595369000","18.92"
"1292595602000","18.94"
"1292595834000","18.92"
"1292597927000","18.94"
"1292598857000","18.92"
"1292599089000","18.94"
"1292599554000","18.92"
"1292600019000","18.94"
"1292600484000","18.92"
"1292601182000","18.94"
"1292603972000","18.92"
"1292604204000","18.94"
"1292604437000","18.92"
"1292604902000","18.94"
"1292605134000","18.92"
"1292606297000","18.94"
"1292606529000","18.92"
"1292607924000","18.94"
"1292608157000","18.92"
"1292614899000","18.89"
"1292615132000","18.92"
"1292620247000","18.89"
"1292620479000","18.92"
"1292621409000","18.89"
"1292621874000","18.92"
"1292623734000","18.89"
"1292623967000","18.92"
"1292624664000","18.89"
"1292624897000","18.92"
"1292626059000","18.89"
"1292626292000","18.92"
