"Monitor PT1000 Plus Bottom Mid TEC TAir"
Date,VALUE_CONVERTED
"1292178448000","18.96"
"1292178690000","18.94"
"1292178933000","18.96"
"1292179903000","18.94"
"1292180145000","18.96"
"1292183783000","18.94"
"1292184268000","18.96"
"1292186208000","18.94"
"1292186450000","18.96"
"1292191543000","18.98"
"1292191785000","18.96"
"1292192998000","18.94"
"1292193240000","18.96"
"1292194695000","18.98"
"1292194938000","18.96"
"1292201000000","18.98"
"1292201243000","18.96"
"1292201485000","18.98"
"1292201728000","18.96"
"1292203183000","18.98"
"1292203425000","18.96"
"1292205123000","18.98"
"1292205365000","18.96"
"1292207305000","18.98"
"1292207548000","18.96"
"1292209245000","18.98"
"1292209488000","18.96"
"1292209730000","18.98"
"1292209973000","18.96"
"1292210943000","18.98"
"1292211185000","18.96"
"1292211670000","18.98"
"1292212398000","18.96"
"1292212640000","18.98"
"1292213368000","18.96"
"1292213853000","18.98"
"1292214580000","18.96"
"1292214823000","18.98"
"1292215793000","18.96"
"1292217005000","18.98"
"1292217248000","18.96"
"1292218218000","18.98"
"1292218945000","18.96"
"1292219430000","18.98"
"1292220643000","18.96"
"1292220885000","18.98"
"1292222583000","18.96"
"1292222825000","18.98"
"1292223310000","19"
"1292223553000","18.98"
"1292224038000","19"
"1292224280000","18.98"
"1292230343000","18.96"
"1292230585000","18.98"
"1292231070000","18.96"
"1292231313000","18.98"
"1292235435000","19"
"1292235678000","18.98"
"1292241255000","19"
"1292241498000","18.98"
"1292243195000","19"
"1292243438000","18.98"
"1292243680000","19"
"1292243923000","18.98"
"1292244650000","19"
"1292245135000","18.98"
"1292246348000","19"
"1292246590000","18.98"
"1292246833000","19"
"1292247075000","18.98"
"1292247318000","19"
"1292247803000","18.98"
"1292248288000","19"
"1292249015000","18.98"
"1292249985000","19"
"1292250228000","18.98"
"1292250713000","19"
"1292250955000","18.98"
"1292251198000","19"
"1292251440000","18.98"
"1292251925000","19"
"1292252168000","18.98"
"1292252410000","19"
"1292252653000","18.98"
"1292252895000","19"
"1292253138000","18.98"
"1292253625000","19"
"1292496047000","18.98"
"1292500169000","19"
"1292500412000","18.98"
"1292501624000","19"
"1292502594000","18.98"
"1292503079000","19"
"1292503807000","18.98"
"1292504534000","19"
"1292505019000","18.98"
"1292505504000","19"
"1292505747000","18.98"
"1292506717000","19"
"1292506959000","18.98"
"1292507444000","19"
"1292507929000","18.98"
"1292509142000","19"
"1292509627000","18.98"
"1292509869000","19"
"1292510112000","18.98"
"1292511567000","19"
"1292511809000","18.98"
"1292512052000","19"
"1292512294000","18.98"
"1292514234000","19"
"1292514962000","18.98"
"1292518114000","19"
"1292518599000","18.98"
"1292519084000","19"
"1292520054000","18.98"
"1292520297000","19"
"1292521024000","18.98"
"1292523207000","19"
"1292523449000","18.98"
"1292523934000","19"
"1292524419000","18.98"
"1292524904000","19"
"1292525389000","18.98"
"1292526359000","19"
"1292526602000","18.98"
"1292526844000","19"
"1292527087000","18.98"
"1292527329000","19"
"1292527572000","18.98"
"1292529512000","19"
"1292529997000","18.98"
"1292530967000","19"
"1292531209000","18.98"
"1292531452000","19"
"1292531694000","18.98"
"1292532907000","19"
"1292533877000","18.98"
"1292535089000","19"
"1292535574000","18.98"
"1292535817000","19"
"1292536302000","18.98"
"1292536544000","19"
"1292537029000","18.98"
"1292537514000","19"
"1292537757000","18.98"
"1292538969000","19"
"1292539212000","18.98"
"1292540909000","19"
"1292541394000","18.98"
"1292543819000","19"
"1292544789000","18.98"
"1292545274000","19"
"1292545517000","18.98"
"1292545759000","19"
"1292546002000","18.98"
"1292546487000","19"
"1292546972000","18.98"
"1292550609000","19"
"1292551094000","18.98"
"1292551337000","19"
"1292551579000","18.98"
"1292551822000","19"
"1292552064000","18.98"
"1292553034000","19"
"1292553277000","18.98"
"1292556672000","19"
"1292556914000","18.98"
"1292557157000","19"
"1292557399000","18.98"
"1292558612000","19"
"1292559339000","18.98"
"1292559824000","19"
"1292560552000","18.98"
"1292560794000","19"
"1292561037000","18.98"
"1292561279000","19"
"1292561522000","18.98"
"1292562007000","19"
"1292562249000","18.98"
"1292562492000","19"
"1292562977000","18.98"
"1292563219000","19"
"1292563947000","18.98"
"1292564432000","19"
"1292565402000","18.98"
"1292565644000","19"
"1292566129000","18.98"
"1292566857000","19"
"1292567342000","18.98"
"1292567827000","19"
"1292568554000","18.98"
"1292569524000","19"
"1292569767000","18.98"
"1292572434000","19"
"1292572677000","18.98"
"1292574374000","19"
"1292574859000","18.98"
"1292575102000","19"
"1292575344000","18.98"
"1292575829000","19"
"1292576072000","18.98"
"1292581407000","19"
"1292581892000","18.98"
"1292586014000","18.96"
"1292586257000","18.98"
"1292587954000","19"
"1292588682000","18.98"
"1292589652000","19"
"1292589894000","18.98"
"1292594744000","18.96"
"1292594987000","18.98"
"1292597654000","18.96"
"1292597897000","18.98"
"1292602019000","18.96"
"1292602262000","18.98"
"1292604444000","18.96"
"1292604687000","18.98"
"1292605172000","18.96"
"1292605657000","18.98"
"1292605899000","18.96"
"1292606142000","18.98"
"1292607354000","18.96"
"1292607597000","18.98"
"1292609294000","18.96"
"1292609537000","18.98"
"1292610022000","18.96"
"1292610264000","18.98"
"1292611962000","18.96"
"1292612204000","18.98"
"1292613174000","18.96"
"1292613417000","18.98"
"1292617297000","18.96"
"1292617539000","18.98"
"1292619237000","18.96"
"1292619722000","18.98"
"1292620207000","18.96"
"1292620449000","18.98"
"1292622874000","18.96"
"1292623117000","18.98"
"1292624329000","18.96"
"1292624572000","18.98"
"1292624814000","18.96"
"1292625542000","18.98"
"1292627482000","18.96"
"1292627724000","18.98"
"1292628452000","18.96"
"1292628694000","18.98"
"1292629179000","18.96"
"1292629664000","18.98"
"1292632332000","18.96"
"1292633059000","18.98"
"1292633302000","18.96"
"1292633787000","18.98"
"1292634999000","18.96"
"1292635484000","18.98"
"1292635727000","18.96"
"1292635969000","18.98"
"1292637182000","18.96"
"1292637424000","18.98"
"1292638879000","18.96"
"1292639364000","18.98"
"1292640819000","18.96"
"1292641062000","18.98"
"1292641304000","18.96"
"1292641547000","18.98"
"1292642759000","18.96"
"1292643487000","18.98"
"1292643729000","18.96"
"1292643972000","18.98"
"1292644699000","18.96"
"1292651974000","18.98"
"1292652217000","18.96"
"1292653429000","18.98"
"1292653672000","18.96"
"1292653914000","18.98"
"1292654157000","18.96"
"1292657552000","18.98"
"1292657794000","18.96"
"1292658279000","18.94"
"1292658522000","18.96"
"1292660219000","18.98"
"1292660947000","18.96"
"1292667009000","18.94"
"1292667252000","18.96"
"1292669192000","18.98"
"1292669434000","18.96"
"1292674042000","18.98"
"1292674284000","18.96"
"1292697322000","18.98"
"1292697564000","18.96"
"1292698049000","18.98"
"1292698292000","18.96"
"1292701444000","18.94"
"1292701687000","18.96"
"1292702172000","18.94"
"1292702414000","18.96"
"1292702657000","18.94"
"1292702899000","18.96"
"1292703384000","18.94"
"1292703627000","18.96"
"1292703869000","18.94"
"1292704112000","18.96"
"1292704354000","18.94"
"1292704597000","18.96"
"1292705082000","18.94"
"1292705324000","18.96"
